school_id,school_name,year,topic,status
WXC,皖西学院,2024,admission_policy,awaiting_manual_review
WXC,皖西学院,2024,enrollment_plan,awaiting_manual_review
WXC,皖西学院,2024,major_catalog,access_restricted
WXC,皖西学院,2024,training_location,awaiting_manual_review
WXC,皖西学院,2024,tuition_and_duration,awaiting_manual_review
WXC,皖西学院,2024,eligibility,awaiting_manual_review
WXC,皖西学院,2024,exam_subjects,access_restricted
WXC,皖西学院,2024,exam_syllabus,access_restricted
WXC,皖西学院,2024,reference_books,access_restricted
WXC,皖西学院,2024,exam_schedule,awaiting_manual_review
WXC,皖西学院,2024,exam_location,awaiting_manual_review
WXC,皖西学院,2024,admission_rules,awaiting_manual_review
WXC,皖西学院,2024,score_formula,awaiting_manual_review
WXC,皖西学院,2024,control_line,awaiting_manual_review
WXC,皖西学院,2024,admission_min_score,not_found
WXC,皖西学院,2024,admission_max_score,not_found
WXC,皖西学院,2024,admission_average_score,not_found
WXC,皖西学院,2024,application_statistics,not_found
WXC,皖西学院,2024,qualified_statistics,not_found
WXC,皖西学院,2024,admitted_statistics,not_found
WXC,皖西学院,2024,registered_statistics,not_found
WXC,皖西学院,2024,plan_adjustment,awaiting_manual_review
WXC,皖西学院,2024,adjustment,awaiting_manual_review
WXC,皖西学院,2024,exemption,awaiting_manual_review
WXC,皖西学院,2024,retired_soldier,awaiting_manual_review
WXC,皖西学院,2024,registered_poor_family,awaiting_manual_review
WXC,皖西学院,2024,skill_competition,awaiting_manual_review
WXC,皖西学院,2024,other_official_notice,access_restricted
WXC,皖西学院,2025,admission_policy,access_restricted
WXC,皖西学院,2025,enrollment_plan,awaiting_manual_review
WXC,皖西学院,2025,major_catalog,access_restricted
WXC,皖西学院,2025,training_location,access_restricted
WXC,皖西学院,2025,tuition_and_duration,awaiting_manual_review
WXC,皖西学院,2025,eligibility,awaiting_manual_review
WXC,皖西学院,2025,exam_subjects,access_restricted
WXC,皖西学院,2025,exam_syllabus,access_restricted
WXC,皖西学院,2025,reference_books,access_restricted
WXC,皖西学院,2025,exam_schedule,awaiting_manual_review
WXC,皖西学院,2025,exam_location,awaiting_manual_review
WXC,皖西学院,2025,admission_rules,awaiting_manual_review
WXC,皖西学院,2025,score_formula,awaiting_manual_review
WXC,皖西学院,2025,control_line,awaiting_manual_review
WXC,皖西学院,2025,admission_min_score,not_found
WXC,皖西学院,2025,admission_max_score,not_found
WXC,皖西学院,2025,admission_average_score,not_found
WXC,皖西学院,2025,application_statistics,not_found
WXC,皖西学院,2025,qualified_statistics,not_found
WXC,皖西学院,2025,admitted_statistics,not_found
WXC,皖西学院,2025,registered_statistics,not_found
WXC,皖西学院,2025,plan_adjustment,awaiting_manual_review
WXC,皖西学院,2025,adjustment,awaiting_manual_review
WXC,皖西学院,2025,exemption,awaiting_manual_review
WXC,皖西学院,2025,retired_soldier,awaiting_manual_review
WXC,皖西学院,2025,registered_poor_family,awaiting_manual_review
WXC,皖西学院,2025,skill_competition,awaiting_manual_review
WXC,皖西学院,2025,other_official_notice,access_restricted
WXC,皖西学院,2026,admission_policy,awaiting_manual_review
WXC,皖西学院,2026,enrollment_plan,awaiting_manual_review
WXC,皖西学院,2026,major_catalog,access_restricted
WXC,皖西学院,2026,training_location,access_restricted
WXC,皖西学院,2026,tuition_and_duration,awaiting_manual_review
WXC,皖西学院,2026,eligibility,awaiting_manual_review
WXC,皖西学院,2026,exam_subjects,access_restricted
WXC,皖西学院,2026,exam_syllabus,access_restricted
WXC,皖西学院,2026,reference_books,access_restricted
WXC,皖西学院,2026,exam_schedule,awaiting_manual_review
WXC,皖西学院,2026,exam_location,awaiting_manual_review
WXC,皖西学院,2026,admission_rules,awaiting_manual_review
WXC,皖西学院,2026,score_formula,awaiting_manual_review
WXC,皖西学院,2026,control_line,awaiting_manual_review
WXC,皖西学院,2026,admission_min_score,not_found
WXC,皖西学院,2026,admission_max_score,not_found
WXC,皖西学院,2026,admission_average_score,not_found
WXC,皖西学院,2026,application_statistics,not_found
WXC,皖西学院,2026,qualified_statistics,not_found
WXC,皖西学院,2026,admitted_statistics,not_found
WXC,皖西学院,2026,registered_statistics,not_found
WXC,皖西学院,2026,plan_adjustment,awaiting_manual_review
WXC,皖西学院,2026,adjustment,awaiting_manual_review
WXC,皖西学院,2026,exemption,awaiting_manual_review
WXC,皖西学院,2026,retired_soldier,awaiting_manual_review
WXC,皖西学院,2026,registered_poor_family,awaiting_manual_review
WXC,皖西学院,2026,skill_competition,awaiting_manual_review
WXC,皖西学院,2026,other_official_notice,access_restricted
