school_id,school_name,year,topic,status,evidence_count,evidence_ids,notes
BCTB,蚌埠工商学院,2024,admission_policy,collected,5,AST-BCTB-2024-3e4a5e62b2|AST-BCTB-2024-68c051b43b|AST-BCTB-2024-8100c1f108|AST-BCTB-2024-d61a363d27|SRC-BCTB-2024-083afa870f,5 evidence record(s)
BCTB,蚌埠工商学院,2024,enrollment_plan,collected,5,AST-BCTB-2024-3e4a5e62b2|AST-BCTB-2024-68c051b43b|AST-BCTB-2024-8100c1f108|AST-BCTB-2024-d61a363d27|SRC-BCTB-2024-083afa870f,5 evidence record(s)
BCTB,蚌埠工商学院,2024,major_catalog,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,training_location,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,tuition_and_duration,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,eligibility,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,exam_subjects,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,exam_syllabus,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,reference_books,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,exam_schedule,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,exam_location,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,admission_rules,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,score_formula,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,control_line,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,admission_min_score,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,admission_max_score,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,admission_average_score,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,application_statistics,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,qualified_statistics,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,admitted_statistics,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,registered_statistics,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,plan_adjustment,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,adjustment,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,exemption,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,retired_soldier,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,registered_poor_family,not_found,0,,not obtained in this targeted deep-search batch
BCTB,蚌埠工商学院,2024,skill_competition,collected,5,AST-BCTB-2024-3e4a5e62b2|AST-BCTB-2024-68c051b43b|AST-BCTB-2024-8100c1f108|AST-BCTB-2024-d61a363d27|SRC-BCTB-2024-083afa870f,5 evidence record(s)
BCTB,蚌埠工商学院,2024,other_official_notice,collected,5,AST-BCTB-2024-3e4a5e62b2|AST-BCTB-2024-68c051b43b|AST-BCTB-2024-8100c1f108|AST-BCTB-2024-d61a363d27|SRC-BCTB-2024-083afa870f,5 evidence record(s)
BCTB,蚌埠工商学院,2025,admission_policy,collected,25,AST-BCTB-2025-02a100d112|AST-BCTB-2025-086c6e5897|AST-BCTB-2025-252b5a5612|AST-BCTB-2025-2824d2087d|AST-BCTB-2025-3b55a35c27|AST-BCTB-2025-4b6d7a8750|AST-BCTB-2025-4e8330f4fa|AST-BCTB-2025-50d91d24e3|AST-BCTB-2025-549c57c5ed|AST-BCTB-2025-54fc9b513c|AST-BCTB-2025-567ce0751e|AST-BCTB-2025-64ad05b7e1|AST-BCTB-2025-6e47c72768|AST-BCTB-2025-748b2c27b7|AST-BCTB-2025-892d060bf2|AST-BCTB-2025-89765d1c3f|AST-BCTB-2025-89844e378f|AST-BCTB-2025-94b363ea0d|AST-BCTB-2025-fa184e98e3|AST-BCTB-2025-fa9f7561a6|SRC-BCTB-2025-a98ddfcb6f|SRC-BCTB-2025-c11dde24ff|SRC-BCTB-2025-d04a32279a|SRC-BCTB-2025-e02c9d51ca|SRC-BCTB-2025-e4fde497f0,25 evidence record(s)
BCTB,蚌埠工商学院,2025,enrollment_plan,collected,25,AST-BCTB-2025-02a100d112|AST-BCTB-2025-086c6e5897|AST-BCTB-2025-252b5a5612|AST-BCTB-2025-2824d2087d|AST-BCTB-2025-3b55a35c27|AST-BCTB-2025-4b6d7a8750|AST-BCTB-2025-4e8330f4fa|AST-BCTB-2025-50d91d24e3|AST-BCTB-2025-549c57c5ed|AST-BCTB-2025-54fc9b513c|AST-BCTB-2025-567ce0751e|AST-BCTB-2025-64ad05b7e1|AST-BCTB-2025-6e47c72768|AST-BCTB-2025-748b2c27b7|AST-BCTB-2025-892d060bf2|AST-BCTB-2025-89765d1c3f|AST-BCTB-2025-89844e378f|AST-BCTB-2025-94b363ea0d|AST-BCTB-2025-fa184e98e3|AST-BCTB-2025-fa9f7561a6|SRC-BCTB-2025-a98ddfcb6f|SRC-BCTB-2025-c11dde24ff|SRC-BCTB-2025-d04a32279a|SRC-BCTB-2025-e02c9d51ca|SRC-BCTB-2025-e4fde497f0,25 evidence record(s)
